BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #437356607, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 100
Time [s], Heartrate [bpm], Button-press []
 128.065,  83,          
 128.805,  83,          
 129.550,  82,          
 130.315,  81,          
 131.085,  81,          
 131.855,  80,          
 132.650,  78,          
 133.480,  78,          
 134.275,  77,          
 135.025,  75,          
 135.760,  75,          
 136.475,  75,          
 137.205,  79,          
 137.960,  80,          
 138.700,  80,          
 139.410,  80,          
 140.110,  81,          
 140.810,  81,          
 141.495,  83,          
 142.195,  84,          
 142.940,  84,          
 143.685,  84,          
 144.470,  84,          
 145.295,  80,          
 146.155,  80,          
 146.975,  76,          
 147.745,  73,          
 148.505,  73,          
 149.245,  73,          
 149.975,  76,          
 150.720,  78,          
 151.485,  79,          
 152.260,  79,          
 153.055,  79,          
 153.850,  78,          
 154.635,  77,          
 155.380,  76,          
 156.110,  76,          
 156.845,  76,          
 157.560,  79,          
 158.305,  81,          
 159.015,  81,          
 159.735,  81,          
 160.490,  82,          
 161.235,  82,          
 161.960,  80,          
 162.660,  82,          
 163.350,  82,          
 164.035,  82,          
 164.765,  84,          
 165.545,  84,          
 166.330,  84,          
 167.130,  82,          
 167.930,  76,          
 168.720,  76,          
 169.495,  75,          
 170.250,  75,          
 171.005,  75,          
 171.730,  76,          
 172.495,  78,          
 173.305,  78,          
 174.190,  78,          
 175.055,  78,          
 175.890,  73,          
 176.735,  72,          
 177.560,  71,          
 178.365,  71,          
 179.170,  71,          
 179.940,  71,          
 180.670,  73,          
 181.420,  73,          
 182.200,  77,          
 182.970,  77,          
 183.745,  77,          
 184.500,  77,          
 185.250,  77,          
 186.010,  77,          
 186.775,  78,          
 187.580,  78,          
 188.430,  78,          
 189.260,  78,          
 190.075,  74,          
 190.900,  73,          
 191.740,  72,          
 192.530,  72,          
 193.300,  72,          
 194.070,  72,          
 194.815,  75,          
 195.575,  76,          
 196.360,  77,          
 197.135,  77,          
 197.910,  77,          
